raw_class,display_class,path,filename,width,height,aspect_ratio,size_pixels,mode
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00002.png,00021_00000_00002.png,36,35,1.0285714285714285,1260,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00003.png,00021_00000_00003.png,37,37,1.0,1369,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00004.png,00021_00000_00004.png,38,38,1.0,1444,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00005.png,00021_00000_00005.png,39,38,1.0263157894736843,1482,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00006.png,00021_00000_00006.png,40,39,1.0256410256410255,1560,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00007.png,00021_00000_00007.png,42,40,1.05,1680,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00008.png,00021_00000_00008.png,42,42,1.0,1764,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00009.png,00021_00000_00009.png,45,42,1.0714285714285714,1890,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00010.png,00021_00000_00010.png,44,44,1.0,1936,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00011.png,00021_00000_00011.png,46,44,1.0454545454545454,2024,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00012.png,00021_00000_00012.png,48,46,1.0434782608695652,2208,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00013.png,00021_00000_00013.png,50,47,1.0638297872340425,2350,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00014.png,00021_00000_00014.png,51,48,1.0625,2448,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00015.png,00021_00000_00015.png,54,50,1.08,2700,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00016.png,00021_00000_00016.png,56,51,1.0980392156862746,2856,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00017.png,00021_00000_00017.png,58,54,1.0740740740740742,3132,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00018.png,00021_00000_00018.png,62,58,1.0689655172413792,3596,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00019.png,00021_00000_00019.png,65,61,1.0655737704918034,3965,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00020.png,00021_00000_00020.png,69,64,1.078125,4416,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00021.png,00021_00000_00021.png,72,68,1.0588235294117647,4896,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00022.png,00021_00000_00022.png,77,73,1.0547945205479452,5621,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00023.png,00021_00000_00023.png,85,80,1.0625,6800,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00024.png,00021_00000_00024.png,94,87,1.0804597701149425,8178,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00025.png,00021_00000_00025.png,99,94,1.053191489361702,9306,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00026.png,00021_00000_00026.png,111,101,1.099009900990099,11211,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00027.png,00021_00000_00027.png,124,111,1.117117117117117,13764,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00028.png,00021_00000_00028.png,141,127,1.110236220472441,17907,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00000_00029.png,00021_00000_00029.png,152,134,1.1343283582089552,20368,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00001_00000.png,00021_00001_00000.png,32,31,1.032258064516129,992,RGB
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00001_00001.png,00021_00001_00001.png,33,31,1.064516129032258,1023,RGB
